"","B/AICHI/7/1998","B/ALGERIA/G-486/2010","B/ALGERIA/G486/2010","B/BANGKOK/163/1990","B/BANGLADESH/3333/2007","B/BANGLADESH/3333/2008","B/BARCELONA/143/2008","B/BEIJING/184/1993","B/BRISBANE/3/2007","B/EGYPT/144/2005","B/ENGLAND/145/2008","B/ESTONIA/55669/2011","B/FLORIDA/4/2006","B/FLORIDA/7/2004","B/FLORIDA/7/2005","B/GUANGDONG/120/2000","B/HARBIN/7/1994","B/HONG-KONG/3577/2012","B/HONGKONG/22/1989","B/JIANGSU/10/2003","B/JOHANNESBURG/69/2001","B/LUSAKA/270/1999","B/LUSAKA/432/1999","B/MASSACHUSETTS/2/2012","B/MIE/1/1993","B/NIEDERSACHSEN/1/2010","B/NOVOSIBIRSK/1/2012","B/SENDAI/114/2007","B/SERBIA/1894/2011","B/SHANGHAI/361/2002","B/SHIGA/T30/1998","B/SHIZUOKA/15/2001","B/SICHUAN/379/1999","B/STOCKHOLM/12/2011","B/VALLADOLID/18/2008","B/VICTORIA/502/2004","B/WISCONSIN/1/2010","B/YAMAGATA/16/1988","B/YAMAGATA/552/2001","B/YAMAGATA/K501/2001","B/YAMAGATA/K515/2001","B/YAMANASHI/166/1998"
"B/Finland/231/2003_2003.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Finland/767/2006_2006.0_x_x_YAM","*","*","*","*","*","*","*","*","*","160","*","*","*","*","320","*","*","*","*","160","*","*","*","*","*","*","*","*","*","160","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Florida/4/2006_2006.0_x_x_YAM","*","*","*","*","160","*","<10","*","1280","160","40","160","640","320","*","*","*","320","*","40","*","*","*","1280","*","*","40","640","10","80","*","*","160","640","10","*","320","*","*","*","*","*"
"B/Florida/7/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","640","640","*","*","640","1280","*","*","*","*","*","20","*","*","*","*","*","*","*","640","*","160","*","*","160","*","*","640","*","*","*","*","*","*"
"B/Fujian/430/2004_2004.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<40","*","*","*","*","*","*","*","*","*","160","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Genoa/12/2002_2002.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*"
"B/Genoa/48/2002_2002.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*"
"B/Genoa/5/2002_2002.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*"
"B/Genoa/56/2002_2002.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*"
"B/Genova/30/2002_2002.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*"
"B/Ghana/FS-11-1827/2011_2011.0_x_x_YAM","*","*","*","*","40","*","*","*","80","40","40","80","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","320","*","*","20","*","*","*","*","*"
"B/Ghana/FS-11-1994/2011_2011.0_x_x_YAM","*","*","*","*","20","*","*","*","<40","<40","10","40","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","80","*","*","*","*","160","*","*","<10","*","*","*","*","*"
"B/Ghana/FS-11-1995/2011_2011.0_x_x_YAM","*","*","*","*","40","*","*","*","160","40","40","80","2560","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","320","*","*","40","*","*","*","*","*"
"B/Guangdong/120/2000_2000.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*"
"B/Harbin/7/1994_1994.0_x_x_YAM","*","*","*","20","*","*","*","80","*","*","*","*","*","*","*","*","1280","*","10","*","*","*","*","*","80","*","*","*","*","*","*","*","1280","*","*","*","*","1280","*","*","*","1280"
"B/Hebei/19/1994_1994.0_x_x_YAM","*","*","*","20","*","*","*","80","*","*","*","*","*","*","*","*","320","*","10","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","*","*","20","*","*","*","*"
"B/Hebei/3/1994_1994.0_x_x_YAM","*","*","*","20","*","*","*","10","*","*","*","*","*","*","*","*","40","*","20","*","*","*","*","*","640","*","*","*","*","*","*","*","*","*","*","*","*","40","*","*","*","*"
"B/HongKong/1127/2011_2011.0_x_x_YAM","*","*","*","*","320","*","*","*","640","160","80","320","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","640","*","*","160","*","*","*","*","*"
"B/HongKong/14/1988_1988.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","1280","*","*","*","*"
"B/HongKong/1832/2010_2010.0_x_x_YAM","*","*","320","*","160","*","*","*","160","160","160","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*"
"B/HongKong/1895/2010_2010.0_x_x_YAM","*","*","160","*","10","*","*","*","<40","160","40","*","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*"
"B/HongKong/2188/2010_2010.0_x_x_YAM","*","*","640","*","80","*","*","*","320","80","160","*","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"B/HongKong/2190/2010_2010.0_x_x_YAM","*","*","640","*","160","*","*","*","320","80","160","*","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*"
"B/HongKong/22/1989_1989.0_x_x_YAM","*","*","*","80","*","*","*","10","*","*","*","*","*","*","*","*","640","*","80","*","*","*","*","*","20","*","*","*","*","*","*","*","*","*","*","*","*","20","*","*","*","*"
"B/HongKong/251/2009_2009.0_x_x_YAM","*","*","*","*","160","*","*","*","80","80","80","*","80","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*"
"B/HongKong/441/2007_2007.0_x_x_YAM","*","*","*","*","*","*","*","*","*","640","*","*","*","640","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","160","*","*","160","*","*","*","*","*","*","*","*","*"
"B/HongKong/542/2009_2009.0_x_x_YAM","*","*","*","*","320","*","*","*","160","80","160","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*"
"B/Indiana/1/2008_2008.0_x_x_YAM","*","*","*","*","80","*","<10","*","80","<40","20","*","<40","*","*","*","*","*","*","*","*","*","*","*","*","*","*","<40","*","*","*","*","*","*","10","*","*","*","*","*","*","*"
"B/Israel/20/2011_2011.0_x_x_YAM","*","*","*","*","80","*","*","*","320","40","40","160","320","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","320","*","*","40","*","*","*","*","*"
"B/Jeju/2787/2007_2007.0_x_x_YAM","*","*","*","*","*","*","*","*","*","320","*","*","*","320","*","*","*","*","*","80","*","*","*","*","*","*","*","*","*","80","*","*","40","*","*","*","*","*","*","*","*","*"
"B/Jiangsu/10/2003_2003.0_x_x_YAM","*","*","*","*","*","*","<10","*","80","40","40","*","40","160","80","*","*","*","*","640","*","*","*","*","*","*","*","40","*","80","*","*","80","*","10","40","*","*","*","*","*","*"
"B/Johannesburg/1197/2007_2007.0_x_x_YAM","*","*","*","*","*","*","*","*","*","160","*","*","320","640","*","*","*","*","*","160","*","*","*","*","*","*","*","*","*","80","*","*","80","*","*","*","*","*","*","*","*","*"
"B/Johannesburg/23/2010_2010.0_x_x_YAM","*","*","1280","*","320","*","*","*","320","160","320","*","160","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*"
"B/Johannesburg/40/2010_2010.0_x_x_YAM","*","*","1280","*","320","*","*","*","320","160","320","*","5120","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","*","*"
"B/Johannesburg/439/2006_2006.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","20","*","*","*","*","*","*","*","*","*","160","*","*","*","*","*","80","*","*","*","*","*","*"
"B/Johannesburg/69/2001_2001.0_x_x_YAM","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","320","*","*","*","*","*","*","*","*","*","*","1280","320","*","*","*","*","*","*","*","*","*"
"B/Johannesburg/90/2007_2007.0_x_x_YAM","*","*","*","*","*","*","*","*","*","80","*","*","*","160","*","*","*","*","*","80","*","*","*","*","*","*","*","*","*","80","*","*","40","*","*","*","*","*","*","*","*","*"
