Name,Add,Lb,long,lat
杭州华东大药房连锁有限公司河坊街连锁店,杭州市河坊街413号,二级 乙等,30.24534855,120.1687837
杭州胡庆余堂国药号有限公司庆余堂连锁店,杭州市上城区大井巷95号,二级 乙等,30.24549284,120.175654
杭州华东武林大药房有限公司化仙桥分店,杭州市化仙桥路2号,二级 乙等,30.2128946,120.1645749
杭州华东武林大药房有限公司复兴路分店,杭州市复兴路429号,二级 乙等,30.21095563,120.1608165
杭州华东武林大药房有限公司萧山分店,杭州市育才路育秀园2-3楼营业房12号,二级 乙等,30.16298867,120.2862279
浙江天天好大药房连锁有限公司董家新村店,杭州市莫干山路763号1层2-3间,二级 乙等,30.30484489,120.142839
浙江天天好大药房连锁有限公司文三路店,杭州市文三西路146-148号,二级 乙等,30.28275744,120.1202812
杭州百川药店有限公司,杭州外东山弄66号,二级 乙等,30.26588989,120.1336822
杭州华东大药房连锁有限公司西溪河下连锁店,杭州市西溪河下路6号,二级 乙等,30.28373889,120.14826
杭州三九医药连锁有限公司假山路店,杭州市天时苑12幢2号,二级 乙等,30.29939288,120.1605133
杭州秋涛老百姓大药房有限公司,杭州市秋涛北路79号,二级 乙等,30.26740434,120.2067581
老百姓大药房连锁（浙江）有限公司湖墅店,杭州市湖墅南路411号,二级 乙等,30.29680961,120.1552681
杭州开心大药房有限公司,杭州市文一路437号,二级 乙等,30.29373085,120.1281723
杭州京都大药房有限公司,杭州市上城区南瓦坊1幢底层,二级 乙等,30.22519511,120.1823344
杭州华东大药房连锁有限公司秋涛路连锁店,杭州市秋涛路56号,二级 乙等,30.2256007,120.1832454
杭州保济大药店连锁有限公司东湖店,杭州市余杭区临平九曲营路76-80号,二级 乙等,30.43035853,120.3114666
杭州华东武林大药房有限公司中山北路分店,杭州市中山北路175号,二级 乙等,30.26821111,120.1755068
杭州华东武林大药房有限公司中兴花园分店,杭州市中兴花园紫薇苑商铺8-9号,二级 乙等,30.21248248,120.2137956
