V2,V3,V4,V5,V6,,
攀枝花市,2014/11/24,65,良,PM10,,
泸州市,2014/11/24,53,良,PM2.5,,
德阳市,2014/11/24,48,优,,,
绵阳市,2014/11/24,46,优,,,
南充市,2014/11/24,35,优,,,
宜宾市,2014/11/24,63,良,PM2.5,,
贵阳市,2014/11/24,59,良,PM2.5,,
遵义市,2014/11/24,58,良,PM10,,
昆明市,2014/11/24,57,良,PM10,,
曲靖市,2014/11/24,54,良,PM10,,
玉溪市,2014/11/24,48,优,,,
拉萨市,2014/11/24,54,良,O3,,
西安市,2014/11/24,78,良,PM2.5,,
铜川市,2014/11/24,118,轻度污染,PM2.5,,
宝鸡市,2014/11/24,50,优,,,
咸阳市,2014/11/24,99,良,PM2.5,,
渭南市,2014/11/24,110,轻度污染,PM2.5,,
延安市,2014/11/24,75,良,PM10,PM2.5,
兰州市,2014/11/24,94,良,PM2.5,,
嘉峪关市,2014/11/24,69,良,PM10,,
金昌市,2014/11/24,93,良,PM2.5,,
西宁市,2014/11/24,92,良,PM2.5,,
银川市,2014/11/24,178,中度污染,PM2.5,,
石嘴山市,2014/11/24,186,中度污染,PM2.5,,
乌鲁木齐市,2014/11/24,107,轻度污染,PM10,,
克拉玛依市,2014/11/24,74,良,PM2.5,,
库尔勒市,2014/11/24,82,良,PM10,,
北京市,2014/11/23,155,中度污染,PM2.5,,
天津市,2014/11/23,176,中度污染,PM2.5,,
石家庄市,2014/11/23,168,中度污染,PM2.5,,
唐山市,2014/11/23,200,中度污染,PM2.5,,
秦皇岛市,2014/11/23,99,良,NO2,,
邯郸市,2014/11/23,218,重度污染,PM2.5,,
邢台市,2014/11/23,224,重度污染,PM2.5,,
保定市,2014/11/23,309,严重污染,PM2.5,,
承德市,2014/11/23,112,轻度污染,PM10,,
沧州市,2014/11/23,180,中度污染,PM2.5,,
廊坊市,2014/11/23,173,中度污染,PM2.5,,
衡水市,2014/11/23,259,重度污染,PM2.5,,
张家口市,2014/11/23,58,良,SO2,PM10,
太原市,2014/11/23,287,重度污染,PM2.5,,
大同市,2014/11/23,85,良,PM2.5,,
阳泉市,2014/11/23,229,重度污染,PM2.5,,
长治市,2014/11/23,293,重度污染,PM2.5,,
临汾市,2014/11/23,132,轻度污染,PM2.5,,
呼和浩特市,2014/11/23,128,轻度污染,PM2.5,,
包头市,2014/11/23,122,轻度污染,PM10,,
赤峰市,2014/11/23,73,良,PM10,,
鄂尔多斯市,2014/11/23,41,优,,,
沈阳市,2014/11/23,134,轻度污染,PM2.5,,
大连市,2014/11/23,99,良,PM2.5,,
鞍山市,2014/11/23,94,良,PM2.5,,
抚顺市,2014/11/23,91,良,PM10,,
本溪市,2014/11/23,105,轻度污染,PM2.5,,
丹东市,2014/11/23,123,轻度污染,PM2.5,,
锦州市,2014/11/23,97,良,NO2,,
营口市,2014/11/23,70,良,NO2,,
盘锦市,2014/11/23,103,轻度污染,PM2.5,,
葫芦岛市,2014/11/23,62,良,NO2,,
长春市,2014/11/23,103,轻度污染,PM2.5,,
吉林市,2014/11/23,82,良,PM2.5,,
哈尔滨市,2014/11/23,107,轻度污染,PM2.5,,
齐齐哈尔市,2014/11/23,53,良,SO2,,
大庆市,2014/11/23,75,良,PM2.5,,
牡丹江市,2014/11/23,110,轻度污染,PM2.5,,
上海市,2014/11/23,54,良,NO2,,
南京市,2014/11/23,148,轻度污染,PM2.5,,
无锡市,2014/11/23,80,良,PM2.5,,
徐州市,2014/11/23,67,良,PM10,,
常州市,2014/11/23,65,良,PM2.5,,
苏州市,2014/11/23,73,良,NO2,,
南通市,2014/11/23,62,良,PM10,,
连云港市,2014/11/23,56,良,O3,,
淮安市,2014/11/23,37,优,,,
盐城市,2014/11/23,45,优,,,
扬州市,2014/11/23,85,良,PM10,,
镇江市,2014/11/23,96,良,PM10,,
泰州市,2014/11/23,79,良,PM10,,
宿迁市,2014/11/23,48,优,,,
杭州市,2014/11/23,173,中度污染,PM2.5,,
宁波市,2014/11/23,85,良,PM2.5,,
温州市,2014/11/23,78,良,NO2,,
嘉兴市,2014/11/23,57,良,PM10,,
湖州市,2014/11/23,109,轻度污染,PM2.5,,
金华市,2014/11/23,115,轻度污染,PM2.5,,
衢州市,2014/11/23,98,良,PM2.5,,
舟山市,2014/11/23,41,优,,,
台州市,2014/11/23,71,良,PM10,,
丽水市,2014/11/23,69,良,PM2.5,,
绍兴市,2014/11/23,214,重度污染,PM2.5,,
合肥市,2014/11/23,210,重度污染,PM2.5,,
芜湖市,2014/11/23,98,良,PM2.5,,
马鞍山市,2014/11/23,98,良,PM2.5,,
福州市,2014/11/23,56,良,PM10,,
厦门市,2014/11/23,64,良,NO2,,
泉州市,2014/11/23,45,优,,,
南昌市,2014/11/23,169,中度污染,PM2.5,,
九江市,2014/11/23,222,重度污染,PM2.5,,
济南市,2014/11/23,244,重度污染,PM2.5,,
青岛市,2014/11/23,80,良,PM10,,
淄博市,2014/11/23,261,重度污染,PM2.5,,
枣庄市,2014/11/23,67,良,PM2.5,,
东营市,2014/11/23,234,重度污染,PM2.5,,
烟台市,2014/11/23,100,良,NO2,PM2.5,
潍坊市,2014/11/23,150,轻度污染,PM2.5,,
济宁市,2014/11/23,165,中度污染,PM2.5,,
泰安市,2014/11/23,87,良,PM2.5,,
威海市,2014/11/23,60,良,PM10,,
日照市,2014/11/23,73,良,PM2.5,,
莱芜市,2014/11/23,160,中度污染,PM2.5,,
临沂市,2014/11/23,128,轻度污染,PM2.5,,
德州市,2014/11/23,255,重度污染,PM2.5,,
聊城市,2014/11/23,206,重度污染,PM2.5,,
滨州市,2014/11/23,189,中度污染,PM2.5,,
菏泽市,2014/11/23,259,重度污染,PM2.5,,
郑州市,2014/11/23,280,重度污染,PM2.5,,
开封市,2014/11/23,120,轻度污染,PM2.5,,
洛阳市,2014/11/23,211,重度污染,PM2.5,,
平顶山市,2014/11/23,245,重度污染,PM2.5,,
安阳市,2014/11/23,260,重度污染,PM2.5,,
焦作市,2014/11/23,253,重度污染,PM2.5,,
三门峡市,2014/11/23,241,重度污染,PM2.5,,
武汉市,2014/11/23,290,重度污染,PM2.5,,
宜昌市,2014/11/23,158,中度污染,PM2.5,,
荆州市,2014/11/23,204,重度污染,PM2.5,,
长沙市,2014/11/23,300,重度污染,PM2.5,,
株洲市,2014/11/23,308,严重污染,PM2.5,,
湘潭市,2014/11/23,260,重度污染,PM2.5,,
岳阳市,2014/11/23,189,中度污染,PM10,,
常德市,2014/11/23,137,轻度污染,PM2.5,,
张家界市,2014/11/23,130,轻度污染,PM2.5,,
广州市,2014/11/23,85,良,O3,,
韶关市,2014/11/23,123,轻度污染,PM2.5,,
深圳市,2014/11/23,46,优,,,
珠海市,2014/11/23,50,优,,,
汕头市,2014/11/23,58,良,PM10,,
佛山市,2014/11/23,81,良,O3,,
江门市,2014/11/23,55,良,PM10,,
湛江市,2014/11/23,59,良,O3,,
茂名市,2014/11/23,48,优,,,
肇庆市,2014/11/23,132,轻度污染,PM2.5,,
惠州市,2014/11/23,59,良,O3,,
梅州市,2014/11/23,103,轻度污染,PM2.5,,
汕尾市,2014/11/23,53,良,O3,,
河源市,2014/11/23,65,良,O3,,
阳江市,2014/11/23,52,良,PM10,,
清远市,2014/11/23,102,轻度污染,O3,,
东莞市,2014/11/23,101,轻度污染,O3,,
中山市,2014/11/23,47,优,,,
潮州市,2014/11/23,89,良,O3,,
揭阳市,2014/11/23,85,良,O3,,
云浮市,2014/11/23,60,良,PM10,,
南宁市,2014/11/23,84,良,PM2.5,,
柳州市,2014/11/23,173,中度污染,PM2.5,,
桂林市,2014/11/23,199,中度污染,PM2.5,,
北海市,2014/11/23,75,良,O3,,
海口市,2014/11/23,32,优,,,
三亚市,2014/11/23,33,优,,,
重庆市,2014/11/23,98,良,PM2.5,,
成都市,2014/11/23,129,轻度污染,PM2.5,,
自贡市,2014/11/23,109,轻度污染,PM2.5,,
攀枝花市,2014/11/23,64,良,PM10,,
泸州市,2014/11/23,75,良,PM2.5,,
德阳市,2014/11/23,57,良,PM2.5,,
绵阳市,2014/11/23,52,良,PM10,,
南充市,2014/11/23,65,良,PM2.5,,
宜宾市,2014/11/23,82,良,PM2.5,,
贵阳市,2014/11/23,64,良,PM2.5,,
遵义市,2014/11/23,50,优,,,
昆明市,2014/11/23,55,良,PM10,,
曲靖市,2014/11/23,52,良,PM10,,
玉溪市,2014/11/23,41,优,,,
拉萨市,2014/11/23,62,良,PM10,,
西安市,2014/11/23,190,中度污染,PM2.5,,
铜川市,2014/11/23,196,中度污染,PM2.5,,
宝鸡市,2014/11/23,153,中度污染,PM2.5,,
咸阳市,2014/11/23,200,中度污染,PM2.5,,
渭南市,2014/11/23,160,中度污染,PM2.5,,
延安市,2014/11/23,103,轻度污染,PM2.5,,
兰州市,2014/11/23,71,良,PM10,,
嘉峪关市,2014/11/23,78,良,PM10,,
金昌市,2014/11/23,77,良,PM2.5,,
西宁市,2014/11/23,70,良,PM2.5,,
银川市,2014/11/23,139,轻度污染,PM2.5,,
石嘴山市,2014/11/23,134,轻度污染,PM2.5,,
乌鲁木齐市,2014/11/23,90,良,PM2.5,,
克拉玛依市,2014/11/23,70,良,PM10,,
库尔勒市,2014/11/23,80,良,PM10,,
北京市,2014/11/22,74,良,NO2,,
天津市,2014/11/22,118,轻度污染,PM2.5,,
石家庄市,2014/11/22,260,重度污染,PM2.5,,
唐山市,2014/11/22,134,轻度污染,PM2.5,,
秦皇岛市,2014/11/22,83,良,NO2,PM10,
邯郸市,2014/11/22,358,严重污染,PM2.5,,
邢台市,2014/11/22,363,严重污染,PM2.5,,
保定市,2014/11/22,228,重度污染,PM2.5,,
承德市,2014/11/22,76,良,PM10,,
沧州市,2014/11/22,246,重度污染,PM2.5,,
廊坊市,2014/11/22,94,良,NO2,,
衡水市,2014/11/22,336,严重污染,PM2.5,,
张家口市,2014/11/22,65,良,SO2,,
太原市,2014/11/22,162,中度污染,PM2.5,,
大同市,2014/11/22,65,良,SO2,,
阳泉市,2014/11/22,232,重度污染,PM2.5,,
长治市,2014/11/22,269,重度污染,PM2.5,,
临汾市,2014/11/22,132,轻度污染,PM2.5,,
呼和浩特市,2014/11/22,106,轻度污染,PM10,,
包头市,2014/11/22,133,轻度污染,PM10,,
赤峰市,2014/11/22,73,良,PM10,,
鄂尔多斯市,2014/11/22,63,良,PM10,,
沈阳市,2014/11/22,127,轻度污染,PM2.5,,
大连市,2014/11/22,185,中度污染,PM2.5,,
鞍山市,2014/11/22,195,中度污染,PM2.5,,
抚顺市,2014/11/22,91,良,PM10,,
本溪市,2014/11/22,114,轻度污染,PM2.5,,
丹东市,2014/11/22,97,良,PM2.5,,
锦州市,2014/11/22,82,良,PM2.5,,
营口市,2014/11/22,64,良,PM10,,
盘锦市,2014/11/22,79,良,PM2.5,,
葫芦岛市,2014/11/22,84,良,SO2,,
长春市,2014/11/22,70,良,PM2.5,,
吉林市,2014/11/22,85,良,PM2.5,,
哈尔滨市,2014/11/22,69,良,PM2.5,,
齐齐哈尔市,2014/11/22,46,优,,,
大庆市,2014/11/22,31,优,,,
牡丹江市,2014/11/22,54,良,PM2.5,,
上海市,2014/11/22,95,良,PM2.5,,
南京市,2014/11/22,254,重度污染,PM2.5,,
无锡市,2014/11/22,201,重度污染,PM2.5,,
徐州市,2014/11/22,212,重度污染,PM2.5,,
常州市,2014/11/22,206,重度污染,PM2.5,,
苏州市,2014/11/22,132,轻度污染,PM2.5,,
南通市,2014/11/22,159,中度污染,PM2.5,,
连云港市,2014/11/22,168,中度污染,PM2.5,,
淮安市,2014/11/22,132,轻度污染,PM2.5,,
盐城市,2014/11/22,69,良,PM2.5,,
扬州市,2014/11/22,128,轻度污染,PM2.5,,
镇江市,2014/11/22,190,中度污染,PM2.5,,
泰州市,2014/11/22,213,重度污染,PM2.5,,
宿迁市,2014/11/22,188,中度污染,PM2.5,,
杭州市,2014/11/22,155,中度污染,PM2.5,,
宁波市,2014/11/22,85,良,NO2,,
温州市,2014/11/22,72,良,NO2,,
嘉兴市,2014/11/22,144,轻度污染,PM2.5,,
湖州市,2014/11/22,170,中度污染,PM2.5,,
金华市,2014/11/22,99,良,PM2.5,,
衢州市,2014/11/22,82,良,PM2.5,,
舟山市,2014/11/22,39,优,,,
台州市,2014/11/22,69,良,PM10,,
丽水市,2014/11/22,100,良,PM2.5,,
绍兴市,2014/11/22,165,中度污染,PM2.5,,
合肥市,2014/11/22,372,严重污染,PM2.5,,
芜湖市,2014/11/22,143,轻度污染,PM2.5,,
马鞍山市,2014/11/22,168,中度污染,PM2.5,,
福州市,2014/11/22,63,良,PM10,,
厦门市,2014/11/22,69,良,NO2,,
泉州市,2014/11/22,53,良,PM10,,
南昌市,2014/11/22,99,良,PM2.5,,
九江市,2014/11/22,170,中度污染,PM2.5,,
济南市,2014/11/22,377,严重污染,PM10,,
青岛市,2014/11/22,200,中度污染,PM2.5,,
淄博市,2014/11/22,339,严重污染,PM2.5,,
枣庄市,2014/11/22,206,重度污染,PM2.5,,
东营市,2014/11/22,198,中度污染,PM2.5,,
烟台市,2014/11/22,186,中度污染,PM2.5,,
潍坊市,2014/11/22,267,重度污染,PM2.5,,
济宁市,2014/11/22,315,严重污染,PM10,,
泰安市,2014/11/22,137,轻度污染,PM2.5,,
威海市,2014/11/22,178,中度污染,PM2.5,,
日照市,2014/11/22,217,重度污染,PM2.5,,
莱芜市,2014/11/22,311,严重污染,PM2.5,,
临沂市,2014/11/22,283,重度污染,PM2.5,,
德州市,2014/11/22,458,严重污染,PM10,,
聊城市,2014/11/22,344,严重污染,PM2.5,,
滨州市,2014/11/22,186,中度污染,PM2.5,,
菏泽市,2014/11/22,450,严重污染,PM2.5,,
郑州市,2014/11/22,424,严重污染,PM2.5,,
开封市,2014/11/22,333,严重污染,PM2.5,,
洛阳市,2014/11/22,285,重度污染,PM2.5,,
平顶山市,2014/11/22,398,严重污染,PM2.5,,
安阳市,2014/11/22,406,严重污染,PM2.5,,
焦作市,2014/11/22,349,严重污染,PM2.5,,
三门峡市,2014/11/22,294,重度污染,PM2.5,,
武汉市,2014/11/22,190,中度污染,PM2.5,,
宜昌市,2014/11/22,229,重度污染,PM2.5,,
荆州市,2014/11/22,222,重度污染,PM2.5,,
长沙市,2014/11/22,231,重度污染,PM2.5,,
株洲市,2014/11/22,196,中度污染,PM2.5,,
湘潭市,2014/11/22,189,中度污染,PM2.5,,
岳阳市,2014/11/22,139,轻度污染,PM10,,
常德市,2014/11/22,156,中度污染,PM2.5,,
张家界市,2014/11/22,190,中度污染,PM2.5,,
广州市,2014/11/22,108,轻度污染,O3,,
韶关市,2014/11/22,128,轻度污染,PM2.5,,
深圳市,2014/11/22,63,良,PM2.5,,
珠海市,2014/11/22,65,良,PM2.5,,
汕头市,2014/11/22,70,良,O3,,
佛山市,2014/11/22,148,轻度污染,PM2.5,,
江门市,2014/11/22,143,轻度污染,PM2.5,,
湛江市,2014/11/22,99,良,O3,,
茂名市,2014/11/22,101,轻度污染,O3,,
肇庆市,2014/11/22,138,轻度污染,PM2.5,,
惠州市,2014/11/22,71,良,O3,,
梅州市,2014/11/22,77,良,PM2.5,,
汕尾市,2014/11/22,69,良,O3,,
河源市,2014/11/22,66,良,O3,,
阳江市,2014/11/22,109,轻度污染,PM2.5,,
清远市,2014/11/22,93,良,NO2,,
