,合计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女,小计,男,女
21,7088403,3074500,4013903,205875,85129,120746,140924,55573,85351,150419,62820,87599,192852,84103,108749,322945,146221,176724,381526,173234,208292,343133,157663,185470,329759,152577,177182,317125,148409,168716,316903,147578,169325,389561,184965,204596,259644,118936,140708,295118,135084,160034,269041,120888,148153,258425,114267,144158,260668,113303,147365,224049,94974,129075,195690,81028,114662,201544,83775,117769,168948,69203,99745,199988,81723,118265,150044,60643,89401,153659,61273,92386,183451,72308,111143,176043,70705,105338,165222,66875,98347,164287,65832,98455,167412,66756,100656,216466,85156,131310,196866,77911,118955,90816,35588,55228
22,8103474,4024415,4079059,296984,134344,162640,179645,81798,97847,195308,93326,101982,164572,79981,84591,229783,116167,113616,424567,218380,206187,388919,197563,191356,341076,175289,165787,359091,185960,173131,305796,159296,146500,375271,196174,179097,285336,146366,138970,332010,169016,162994,324235,164597,159638,304639,153875,150764,327449,165125,162324,286657,143484,143173,248430,123105,125325,272899,134187,138712,214083,106972,107111,236189,115304,120885,194006,94254,99752,197017,96023,100994,206396,99288,107108,230938,109974,120964,213657,103224,110433,195003,92573,102430,187295,89658,97637,229396,108393,121003,238730,113038,125692,118097,57681,60416
23,7233415,3641457,3591958,309119,150863,158256,225859,109529,116330,196955,101100,95855,176193,91280,84913,155126,79879,75247,235363,125163,110200,337232,180845,156387,298964,158347,140617,292003,156286,135717,270922,145208,125714,280983,151357,129626,219835,114510,105325,280618,143895,136723,285982,143893,142089,283694,141799,141895,300302,149657,150645,275866,134563,141303,244859,119019,125840,265889,129627,136262,217988,106183,111805,229985,112865,117120,178654,85909,92745,195566,94490,101076,200613,98222,102391,192804,93729,99075,213269,104993,108276,196322,94619,101703,169634,82773,86861,201263,96638,104625,196418,94027,102391,105135,50189,54946
24,5968652,3249784,2718868,278905,149091,129814,208649,111795,96854,215130,118242,96888,156229,89392,66837,147155,84468,62687,148393,84566,63827,168281,97340,70941,236058,136587,99471,236002,134966,101036,200617,116138,84479,227319,132161,95158,146087,83695,62392,195375,110109,85266,212820,119307,93513,220972,121594,99378,254673,139575,115098,225962,121513,104449,212391,112261,100130,232539,124229,108310,184922,98077,86845,214155,114471,99684,154996,81551,73445,158753,83853,74900,180335,93981,86354,178006,93099,84907,171968,89986,81982,197900,100763,97137,167347,86743,80604,180875,91770,89105,167556,84545,83011,88282,43916,44366
25-29岁,13125626,8261823,4863803,615778,384390,231388,424175,271193,152982,456288,295310,160978,413790,271745,142045,374089,251146,122943,389848,262479,127369,315811,212699,103112,283364,187166,96198,345208,223817,121391,341436,221819,119617,393593,258203,135390,285104,189809,95295,337588,224817,112771,347697,229331,118366,370749,241397,129352,455562,290453,165109,451693,284889,166804,447671,280460,167211,530650,331137,199513,443070,277789,165281,516287,324942,191345,401618,252497,149121,411027,258265,152762,450795,278174,172621,465275,284170,181105,473077,285539,187538,508656,300602,208054,481223,282460,198763,588388,341861,246527,533485,306621,226864,272631,156643,115988
25,4674561,2744047,1930514,238699,138296,100403,159053,93541,65512,170414,102276,68138,151119,92444,58675,116643,73496,43147,127757,80024,47733,97579,60066,37513,110772,68473,42299,170734,106294,64440,149311,93047,56264,157444,98677,58767,111361,69985,41376,122482,75952,46530,141226,86585,54641,155465,94992,60473,189786,113431,76355,178435,105240,73195,165425,96496,68929,190594,110937,79657,154305,89989,64316,174451,101744,72707,135540,78175,57365,130925,75495,55430,145127,81437,63690,154336,85649,68687,152935,85330,67605,155072,83526,71546,160655,86590,74065,178081,95333,82748,151951,80023,71928,76884,40504,36380
26,3346070,2081585,1264485,162745,100972,61773,116158,74180,41978,115357,74327,41030,107929,70534,37395,102210,67892,34318,89860,60475,29385,77773,51803,25970,60204,38868,21336,75805,49223,26582,100829,66301,34528,108529,71795,36734,73201,48836,24365,88116,58581,29535,81499,53906,27593,94128,61170,32958,119148,76344,42804,119816,74884,44932,117790,72925,44865,133935,82950,50985,113513,69942,43571,130595,81021,49574,101187,62694,38493,105428,64643,40785,109647,66095,43552,113647,67830,45817,120500,70876,49624,129711,74246,55465,114155,65328,48827,159315,89952,69363,137819,76701,61118,65521,36291,29230
27,2354733,1543956,810777,103770,68441,35329,73739,50104,23635,82420,56322,26098,70657,48463,22194,72373,50467,21906,78355,54946,23409,55097,38909,16188,47391,32791,14600,41491,27541,13950,45137,30467,14670,73273,50078,23195,50504,35309,15195,58572,40808,17764,58627,40823,17804,55004,37798,17206,72392,48544,23848,77375,51925,25450,79447,52062,27385,96860,63394,33466,79400,52280,27120,96496,63227,33269,74534,48961,25573,77646,50894,26752,86349,55282,31067,84761,54273,30488,86618,53896,32722,102347,62424,39923,91363,55682,35681,108212,64708,43504,116134,68761,47373,58389,34376,24013
28,1616933,1101642,515291,66966,45930,21036,45188,31764,13424,53490,37488,16002,50167,35728,14439,47651,33850,13801,55279,39388,15891,48987,35497,13490,33668,24167,9501,32937,23118,9819,25465,17325,8140,33980,23571,10409,34023,24319,9704,40452,29022,11430,38410,27602,10808,39380,28007,11373,42612,29584,13028,47396,32772,14624,51505,35634,15871,65056,43691,21365,56673,38445,18228,66886,45626,21260,53405,36716,16689,56013,38449,17564,62811,42608,20203,65040,43550,21490,63332,41882,21450,71047,46005,25042,68398,43708,24690,82712,52475,30237,73523,45902,27621,44481,27819,16662
29,1133329,790593,342736,43598,30751,12847,30037,21604,8433,34607,24897,9710,33918,24576,9342,35212,25441,9771,38597,27646,10951,36375,26424,9951,31329,22867,8462,24241,17641,6600,20694,14679,6015,20367,14082,6285,16015,11360,4655,27966,20454,7512,27935,20415,7520,26772,19430,7342,31624,22550,9074,28671,20068,8603,33504,23343,10161,44205,30165,14040,39179,27133,12046,47859,33324,14535,36952,25951,11001,41015,28784,12231,46861,32752,14109,47491,32868,14623,49692,33555,16137,50479,34401,16078,46652,31152,15500,60068,39393,20675,54058,35234,18824,27356,17653,9703
