年龄,总计,总计男,总计女,总计15小,15小男,15小女,总计15,总计15男,总计15女,总计16,总计16男,总计16女,总计17,总计17男,总计17女,总计18,总计18男,总计18女,总计19,总计19男,总计19女,总计20,总计20男,总计19女,总计21,总计21男,总计21女,总计22,总计22男,总计22女,总计23,总计23男,总计23女,总计24,总计24男,总计24女,总计25,总计25男,总计25女,总计26,总计26男,总计26女,总计27,总计27男,总计27女,总计28,总计28男,总计28女,总计29,总计29男,总计29女,总计30,总计30男,总计30女,总计31,总计31男,总计31女,总计32,总计32男,总计32女,总计33,总计33男,总计33女,总计34,总计34男,总计34女,总计35,总计35男,总计35女,总计36,总计36男,总计36女,总计37,总计37男,总计37女,总计38,总计38男,总计38女,总计39,总计39男,总计39女,总计40,总计40男,总计40女
31,1642259,791150,851109,2561,849,1712,9193,2561,6632,14434,3788,10646,22981,6018,16963,42364,11185,31179,88694,24819,63875,146354,44301,102053,177535,71832,105703,199172,97030,102142,198911,96562,102349,182981,95682,87299,158212,88292,69920,122989,72070,50919,99815,60983,38832,73552,47173,26379,57484,37826,19658,36053,24090,11963,8974,6089,2885,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1649878,797011,852867,2834,915,1919,8794,2330,6464,14953,3792,11161,25690,6656,19034,42236,11212,31024,87644,24412,63232,144621,43210,101411,190322,78031,112291,219797,107181,112616,188548,90969,97579,167186,88013,79173,150198,83913,66285,119817,70804,49013,91546,56691,34855,71397,45917,25480,51273,33919,17354,40579,27064,13515,25968,17609,8359,6475,4373,2102,,,,,,,,,,,,,,,,,,,,,,,,
33,1571247,767961,803286,2666,834,1832,8928,2502,6426,13735,3489,10246,25079,6708,18371,43557,11999,31558,81944,22979,58965,131741,38931,92810,179173,73442,105731,221802,110195,111607,198439,96099,102340,150927,79357,71570,129087,73563,55524,106516,63993,42523,83440,52815,30625,62045,40931,21114,47280,32079,15201,34211,23421,10790,27663,18893,8770,18310,12483,5827,4704,3248,1456,,,,,,,,,,,,,,,,,,,,,
34,1811049,887482,923567,3579,1256,2323,11282,3315,7967,17811,4880,12931,29281,7784,21497,52343,14507,37836,102733,29249,73484,151988,45138,106850,200605,83042,117563,254542,125744,128798,236740,116552,120188,192566,102182,90384,138150,79897,58253,108343,66186,42157,87223,55894,31329,66587,44385,22202,49663,33700,15963,37602,25840,11762,27620,18907,8713,23115,15912,7203,15244,10349,4895,4032,2763,1269,,,,,,,,,,,,,,,,,,
35-39岁,10641419,5251493,5389926,14404,4613,9791,72437,20639,51798,123241,34659,88582,222705,64467,158238,382158,115864,266294,664787,208806,455981,971068,323536,647532,1261156,552996,708160,1467390,737063,730327,1340166,657902,682264,1095400,585745,509655,849634,495803,353831,593853,367320,226533,421564,276161,145403,298826,203880,94946,220211,153480,66731,163471,114550,48921,128022,89844,38178,102533,71551,30982,83808,58294,25514,66247,45876,20371,45685,31699,13986,28196,19595,8601,15908,11116,4792,7065,4967,2098,1484,1067,417,,,
35,1878059,921314,956745,3643,1189,2454,15251,4630,10621,17804,4900,12904,31807,8533,23274,55741,15657,40084,109794,32017,77777,168768,52143,116625,209368,87902,121466,253170,125534,127636,244421,118934,125487,199946,106746,93200,156714,90915,65799,102186,63010,39176,79557,51823,27734,63131,42581,20550,48773,33504,15269,35683,24580,11103,27489,19183,8306,21364,14669,6695,18146,12353,5793,12160,8320,3840,3143,2191,952,,,,,,,,,,,,,,,
36,2051982,1006329,1045653,3055,999,2056,16800,4864,11936,25281,7420,17861,35617,9947,25670,64309,18269,46040,120676,35843,84833,187036,58999,128037,246967,105321,141646,278382,138587,139795,254474,123487,130987,218145,115929,102216,168783,98559,70224,120274,74367,45907,76948,50447,26501,58311,40003,18308,47507,33041,14466,36044,25137,10907,27432,19283,8149,21616,15166,6450,16985,11906,5079,14784,10101,4683,9878,6817,3061,2678,1837,841,,,,,,,,,,,,
37,2158168,1066535,1091633,2749,897,1852,14686,4115,10571,28767,8149,20618,47151,14012,33139,68676,20632,48044,129625,40442,89183,194263,64327,129936,260015,114566,145449,307956,155341,152615,265751,129708,136043,218608,115744,102864,177779,103442,74337,123123,76250,46873,87296,57145,30151,54639,37593,17046,42704,29958,12746,34183,24179,10004,26795,18873,7922,20825,14547,6278,16878,11802,5076,13668,9551,4117,11825,8170,3655,7999,5572,2427,2207,1520,687,,,,,,,,,
38,2251751,1112596,1139155,2512,774,1738,13281,3695,9586,27004,7514,19490,56379,16708,39671,89949,28180,61769,138215,44576,93639,210202,72368,137834,266951,119109,147842,314184,158465,155719,289728,143089,146639,221819,118603,103216,173608,101195,72413,126977,78546,48431,88251,58076,30175,61430,41821,19609,38585,27088,11497,30305,21376,8929,24641,17353,7288,20178,14099,6079,16338,11308,5030,13048,9122,3926,10682,7360,3322,9354,6474,2880,6347,4446,1901,1783,1251,532,,,,,,
39,2301459,1144719,1156740,2445,754,1691,12419,3335,9084,24385,6676,17709,51751,15267,36484,103483,33126,70357,166477,55928,110549,210799,75699,135100,277855,126098,151757,313698,159136,154562,285792,142684,143108,236882,128723,108159,172750,101692,71058,121293,75147,46146,89512,58670,30842,61315,41882,19433,42642,29889,12753,27256,19278,7978,21665,15152,6513,18550,13070,5480,15461,10925,4536,12587,8782,3805,10157,7161,2996,8165,5712,2453,7354,5150,2204,5282,3716,1566,1484,1067,417,,,
40-44岁,11587828,5745868,5841960,15523,4921,10602,71087,19277,51810,131732,34600,97132,262242,72434,189808,510420,153996,356424,968586,332435,636151,1387805,532227,855578,1615002,753946,861056,1658926,855676,803250,1351197,702840,648357,1017297,573022,444275,743603,453395,290208,512520,329596,182924,356032,239161,116871,251261,172872,78389,183997,127760,56237,133257,92674,40583,94093,65460,28633,70399,49461,20938,52956,37440,15516,42214,29923,12291,35149,25044,10105,29414,20956,8458,25319,18112,7207,22154,15863,6291,18321,13116,5205,27322,19661,7661
40,2530476,1252780,1277696,3024,895,2129,15636,4166,11470,27661,7327,20334,55723,15775,39948,109877,34286,75591,209849,72255,137594,273351,101831,171520,291577,134746,156831,342889,174305,168584,301209,151270,149939,247220,136176,111044,194473,115540,78933,125539,77975,47564,89064,58293,30771,65258,43815,21443,45797,31627,14170,31303,21893,9410,19916,14005,5911,16553,11613,4940,14666,10175,4491,12482,8620,3862,10257,7117,3140,8011,5636,2375,7044,4916,2128,6388,4475,1913,4502,3189,1313,1207,859,348
41,2299614,1138798,1160816,3376,1140,2236,15974,4626,11348,29693,8331,21362,54598,15701,38897,102166,31606,70560,193014,67342,125672,287173,112062,175111,314484,146789,167695,289720,147850,141870,263537,134041,129496,204186,113789,90397,155455,94358,61097,110670,70608,40062,73653,49137,24516,51947,35709,16238,39313,26988,12325,27685,19425,8260,18891,13397,5494,12373,8886,3487,10281,7284,2997,9042,6456,2586,7895,5581,2314,6464,4611,1853,5433,3961,1472,4579,3304,1275,4173,3003,1170,3839,2813,1026
42,2511073,1245679,1265394,3522,1169,2353,14930,3973,10957,30010,7830,22180,61387,16935,44452,111487,33637,77850,206756,71424,135332,305261,118278,186983,380089,179212,200877,362670,187553,175117,261373,135887,125486,215591,121363,94228,157296,96394,60902,109954,71209,38745,78661,52852,25809,52725,36380,16345,39988,27713,12275,30967,21089,9878,20958,14548,6410,14691,10508,4183,9757,6976,2781,8357,5994,2363,7417,5348,2069,6399,4580,1819,5304,3750,1554,4543,3238,1305,4078,2912,1166,6902,4927,1975
43,1989039,985366,1003673,2696,793,1903,12157,3207,8950,21131,5310,15821,45681,12269,33412,92299,27223,65076,168495,57412,111083,242761,93220,149541,292824,136823,156001,312460,163433,149027,236401,126211,110190,150555,86149,64406,117643,72581,45062,79399,52140,27259,55812,37982,17830,40197,27839,12358,28030,19456,8574,21781,14994,6787,17380,11698,5682,11943,8414,3529,8241,5853,2388,5418,3889,1529,4826,3483,1343,4397,3156,1241,3889,2808,1081,3251,2332,919,2670,1908,762,6702,4783,1919
44,2257626,1123245,1134381,2905,924,1981,12390,3305,9085,23237,5802,17435,44853,11754,33099,94591,27244,67347,190472,64002,126470,279259,106836,172423,336028,156376,179652,351187,182535,168652,288677,155431,133246,199745,115545,84200,118736,74522,44214,86958,57664,29294,58842,40897,17945,41134,29129,12005,30869,21976,8893,21521,15273,6248,16948,11812,5136,14839,10040,4799,10011,7152,2859,6915,4964,1951,4754,3515,1239,4143,2973,1170,3649,2677,972,3393,2514,879,2898,2104,794,8672,6279,2393
45-49岁,9977654,4959076,5018578,9239,2269,6970,51269,11259,40010,93680,20442,73238,187416,42843,144573,351981,89969,262012,688092,213406,474686,1089123,399163,689960,1450167,656601,793566,1602043,816059,785984,1345362,716174,629188,1008884,581622,427262,684888,426132,258756,425364,280037,145327,272693,187225,85468,176001,124704,51297,121685,87759,33926,88125,63900,24225,65609,47398,18211,52596,37753,14843,43473,30846,12627,34955,25037,9918,27075,19527,7548,20193,14645,5548,15652,11543,4109,12670,9331,3339,10868,8058,2810,48551,35374,13177
45,2252280,1123141,1129139,3145,926,2219,15783,4269,11514,20890,5312,15578,43568,11256,32312,82280,23201,59079,172422,57437,114985,278705,105616,173089,338982,156029,182953,348575,179650,168925,286257,153137,133120,216054,125270,90784,141622,88573,53049,79800,53350,26450,58874,40913,17961,39276,28099,11177,28684,20602,8082,21939,15854,6085,15455,10965,4490,12920,9048,3872,11261,7729,3532,7536,5397,2139,5550,4020,1530,3695,2695,1000,3307,2443,864,3183,2325,858,2819,2067,752,9698,6958,2740
46,2202758,1092241,1110517,1884,459,1425,13834,3263,10571,24959,5903,19056,38897,9266,29631,78660,20986,57674,150815,48069,102746,249322,92419,156903,344524,156319,188205,353660,179988,173672,282075,149560,132515,214529,122789,91740,149056,93090,55966,90933,60103,30830,51608,36093,15515,37986,27191,10795,26568,19394,7174,19663,14306,5357,15130,10948,4182,11407,8149,3258,9758,6804,2954,8576,6030,2546,5967,4290,1677,4427,3189,1238,2947,2238,709,2564,1888,676,2498,1871,627,10511,7636,2875
47,2548225,1274669,1273556,1841,417,1424,10357,2003,8354,25638,5488,20150,50634,11502,39132,81445,20505,60940,169077,52476,116601,262801,97471,165330,376393,172133,204260,441661,225893,215768,347519,185589,161930,252175,145378,106797,174277,108484,65793,113133,74546,38587,68505,47164,21341,38955,27894,11061,29709,21705,8004,21340,15642,5698,16066,11757,4309,13183,9598,3585,10105,7390,2715,8915,6400,2515,7386,5257,2129,5251,3874,1377,4005,2941,1064,2741,2027,714,2493,1859,634,12620,9276,3344
48,1909411,948897,960514,1394,269,1125,7086,1089,5997,14838,2575,12263,38949,8068,30881,73307,17229,56078,123898,35897,88001,199275,70934,128341,254304,114601,139703,306190,156245,149945,280260,150415,129845,198836,116087,82749,133719,83492,50227,86785,57044,29741,57421,39030,18391,35096,24746,10350,20766,14969,5797,15938,11559,4379,11659,8427,3232,9397,6829,2568,7655,5545,2110,5968,4343,1625,5256,3818,1438,4298,3092,1206,3235,2387,848,2455,1834,621,1795,1321,474,9631,7052,2579
49,1064980,520128,544852,975,198,777,4209,635,3574,7355,1164,6191,15368,2751,12617,36289,8048,28241,71880,19527,52353,99020,32723,66297,135964,57519,78445,151957,74283,77674,149251,77473,71778,127290,72098,55192,86214,52493,33721,54713,34994,19719,36285,24025,12260,24688,16774,7914,15958,11089,4869,9245,6539,2706,7299,5301,1998,5689,4129,1560,4694,3378,1316,3960,2867,1093,2916,2142,774,2522,1795,727,2158,1534,624,1727,1257,470,1263,940,323,6091,4452,1639
50-54岁,7522444,3766272,3756172,11128,2768,8360,43880,9157,34723,68188,13140,55048,114693,22316,92377,192994,41355,151639,367987,106142,261845,583141,197137,386004,808491,324915,483576,1052429,481452,570977,1089489,540386,549103,962668,531421,431247,706086,431570,274516,476262,314183,162079,315632,219623,96009,211909,151021,60888,145722,105054,40668,96200,69580,26620,62888,45808,17080,45470,33518,11952,32120,24165,7955,22796,17249,5547,17719,13575,4144,14624,11179,3445,12451,9422,3029,10936,8175,2761,9793,7199,2594,46748,34762,11986
50,1353281,671332,681949,1727,373,1354,7595,1354,6241,9758,1579,8179,17259,2957,14302,34212,6972,27240,78132,22141,55991,132951,43668,89283,158017,63940,94077,197822,94833,102989,182163,93991,88172,162333,93058,69275,127376,79370,48006,77682,51216,26466,49057,33355,15702,33134,22830,10304,22993,15974,7019,14497,10180,4317,8275,5945,2330,7206,5198,2008,5381,3942,1439,4372,3158,1214,3877,2795,1082,2924,2111,813,2606,1825,781,2291,1603,688,1793,1268,525,7848,5696,2152
51,1206593,615130,591463,1896,547,1349,7182,1696,5486,11461,2506,8955,15959,3272,12687,27625,6054,21571,57901,17129,40772,107682,38424,69258,160904,65813,95091,168547,79216,89331,171558,89171,82387,138644,79955,58689,108739,68739,40000,77286,52170,25116,47431,33487,13944,29849,21570,8279,20427,14947,5480,14103,10329,3774,8776,6596,2180,5185,3981,1204,4436,3419,1017,3474,2673,801,2763,2144,619,2514,1924,590,1967,1506,461,1792,1319,473,1665,1231,434,6827,5312,1515
52,1590855,797631,793224,2455,670,1785,8618,1878,6740,14672,3016,11656,25656,5158,20498,36033,7643,28390,69239,19887,49352,115098,37838,77260,183713,73983,109730,252260,113018,139242,219408,108200,111208,197256,109472,87784,142310,87752,54558,101434,67584,33850,71756,50410,21346,44705,32180,12525,29337,21445,7892,19879,14586,5293,13989,10230,3759,9316,6999,2317,5450,4197,1253,4552,3503,1049,3576,2759,817,3034,2359,675,2777,2143,634,2309,1751,558,2187,1587,600,9836,7383,2453
