½ÌÓý³Ì¶È,×ÜÊý15,ÄÐ15,Å®15,Î´»é×ÜÊý,Î´»éÄÐ,Î´»éÅ®,ÅäÅ¼×ÜÊý,ÅäÅ¼ÄÐ,ÅäÅ¼Å®,Àë»é×ÜÊý,Àë»éÄÐ,Àë»éÅ®,É¥Å¼×ÜÊý,É¥Å¼ÄÐ,É¥Å¼Å®
62,1122945,566205,556740,21510,20166,1344,958921,498343,460578,11180,6945,4235,131334,40751,90583
63,1067659,540955,526704,20258,19028,1230,899915,473582,426333,10011,6410,3601,137475,41935,95540
64,992495,496606,495889,19114,17910,1204,824331,431022,393309,9166,5778,3388,139884,41896,97988
65,11826668,5659255,6167413,202222,176120,26102,7470399,4241653,3228746,78803,47304,31499,4075244,1194178,2881066
Î´ÉÏ¹ýÑ§,6624955,1741497,4883458,371770,302339,69431,3951472,1031934,2919538,49032,23221,25811,2252681,384003,1868678
15-19Ëê,27842,13677,14165,25694,13411,12283,2090,255,1835,33,3,30,25,8,17
15,4497,2317,2180,4464,2308,2156,33,9,24,,,,,,
16,4904,2521,2383,4802,2510,2292,102,11,91,,,,,,
17,5458,2720,2738,5176,2677,2499,271,41,230,3,,3,8,2,6
18,6303,3028,3275,5662,2954,2708,626,72,554,12,1,11,3,1,2
19,6680,3091,3589,5590,2962,2628,1058,122,936,18,2,16,14,5,9
20-24Ëê,54247,22990,31257,32969,19303,13666,20617,3495,17122,447,122,325,214,70,144
20,9753,4435,5318,7383,4126,3257,2319,296,2023,38,10,28,13,3,10
21,10170,4323,5847,6883,3843,3040,3199,454,2745,53,12,41,35,14,21
22,10658,4454,6204,6480,3743,2737,4036,667,3369,94,28,66,48,16,32
23,11782,4924,6858,6472,3973,2499,5153,913,4240,111,24,87,46,14,32
24,11884,4854,7030,5751,3618,2133,5910,1165,4745,151,48,103,72,23,49
25-29Ëê,68062,25724,42338,24005,15881,8124,42428,9334,33094,1087,358,729,542,151,391
25,12389,4869,7520,5244,3330,1914,6875,1452,5423,181,57,124,89,30,59
26,12347,4631,7716,4764,3077,1687,7306,1483,5823,181,44,137,96,27,69
27,13034,4931,8103,4581,3004,1577,8133,1828,6305,230,73,157,90,26,64
28,15448,5796,9652,4955,3373,1582,10089,2302,7787,247,83,164,157,38,119
29,14844,5497,9347,4461,3097,1364,10025,2269,7756,248,101,147,110,30,80
30-34Ëê,95522,34006,61516,22734,16995,5739,69805,15947,53858,1845,744,1101,1138,320,818
30,17171,6147,11024,4634,3273,1361,12044,2716,9328,315,106,209,178,52,126
31,17261,6339,10922,4509,3279,1230,12188,2865,9323,369,134,235,195,61,134
32,19439,7019,12420,4614,3505,1109,14222,3287,10935,359,158,201,244,69,175
33,18939,6713,12226,4224,3201,1023,14086,3288,10798,387,158,229,242,66,176
34,22712,7788,14924,4753,3737,1016,17265,3791,13474,415,188,227,279,72,207
35-39Ëê,157868,51449,106419,26886,22234,4652,125534,27232,98302,2679,1265,1414,2769,718,2051
35,25302,8637,16665,4969,3957,1012,19502,4358,15144,459,215,244,372,107,265
36,28836,9523,19313,5297,4328,969,22540,4815,17725,534,246,288,465,134,331
37,32005,10296,21709,5414,4438,976,25426,5448,19978,532,245,287,633,165,468
38,35004,11290,23714,5519,4668,851,28297,6220,22077,586,261,325,602,141,461
